Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
8.29384805283781e-05,800.0000000000001,0.9999999999999238,0.00378415376775035,0.07709195218459224,0.4986461556523643,0.13103733474020976,0.00850290109086075,0.24271225361919602,0.03822524894502665,0.9365472928674886,2.0544280667256436e-05,0.0009909548337642441,0.013364265209491072,0.0080617536761305,2.7323740016916346e-07,5.536970639625188e-06,1.3819603680782316e-08,4.441734618472071e-11,1.6307300855964587e-05,0.04099305775954148
8.293972583553522e-05,800.0000000000001,0.9999999999999238,0.003784447429140526,0.07708654538044776,0.49865153156828335,0.1310342610668599,0.008503849629885906,0.24271413986882542,0.03822522505655713,0.936633893643473,2.0582089382672485e-05,0.0009910573003838624,0.01336551802218384,0.008063415448225458,2.732536240369071e-07,5.537200879221541e-06,1.3821383821745657e-08,4.4423056139809414e-11,1.6345240091363078e-05,0.040903363935949656
8.294097114269232e-05,800.0000000000001,0.9999999999999238,0.0037850345406120743,0.07707572991853703,0.4986622856910527,0.13102811247489382,0.008505747987611537,0.2427179121282203,0.03822517725907257,0.9368057391382087,2.0657583032467237e-05,0.000991260803895134,0.013367976677957862,0.008066725987646454,2.7328580786875417e-07,5.537644429404587e-06,1.3824883149022289e-08,4.443428017120271e-11,1.642097468571204e-05,0.04072539403501881
8.294346175700655e-05,800.0000000000001,0.9999999999999238,0.003785562684227728,0.07706599391980432,0.49867196699052635,0.13102257734938866,0.008507457944590464,0.24272130689278598,0.038225134218676515,0.9369588786199992,2.0725388803789757e-05,0.0009914423529904137,0.013370136789342601,0.008069690883690467,2.7331447726416426e-07,5.538024640917925e-06,1.3827964161327126e-08,4.444416205206939e-11,1.648897456981337e-05,0.040566811779077463
8.294570330988934e-05,800.0000000000001,0.9999999999999238,0.0037860905674739925,0.07705625598044354,0.4986816507180304,0.13101704093365932,0.008509169235185816,0.24272470140756586,0.038225091157641104,0.9371106030835035,2.0793066165477806e-05,0.0009916224103050854,0.01337224792960484,0.008072642212601348,2.7334287136200094e-07,5.5383872083136076e-06,1.3830981584285956e-08,4.4453839587699545e-11,1.6556824689075898e-05,0.040409708867615655
8.294794486277215e-05,800.0000000000001,0.9999999999999241,0.0037866181741204046,0.07704651613147451,0.49869133685015854,0.131011503255358,0.008510881834892639,0.24272809567724626,0.038225048076749694,0.9372609372804166,2.0860617774713594e-05,0.0009918010019903615,0.013374310976826367,0.00807558021304471,2.7337099501796067e-07,5.538732451237745e-06,1.3833936539166907e-08,4.446331638139348e-11,1.6624527875139835e-05,0.04025405940022579
8.295018641565495e-05,800.0000000000001,0.9999999999999237,0.003787145488247013,0.07703677440338388,0.49870102536388305,0.13100596434165004,0.008512595719634197,0.24273148970643027,0.038225004976771455,0.9374099053248406,2.092804622886747e-05,0.000991978153523173,0.013376326786747597,0.008078505117371087,2.733988529616365e-07,5.539060681216947e-06,1.3836830118953774e-08,4.447259594555424e-11,1.6692086895876967e-05,0.04009983814355601
8.295242796853775e-05,800.0000000000001,0.9999999999999238,0.003787672494236911,0.07702703082613885,0.4987107162365455,0.1310004242192264,0.008514310865751431,0.24273488349963923,0.03822496185846171,0.9375575307157282,2.0995354070103475e-05,0.000992153889729908,0.01337829619354618,0.00808141715184121,2.7342644980099805e-07,5.539372201941353e-06,1.3839663389324538e-08,4.4481681704831474e-11,1.6759504460058724e-05,0.039947020507827696
8.295466952142054e-05,800.0000000000001,0.9999999999999238,0.003788199176768847,0.07701728542919982,0.4987204094458469,0.13099488291431485,0.008516027249992581,0.2427382770613147,0.038224918722562215,0.9377038363575685,2.1062543790620605e-05,0.000992328234808289,0.013380220010555574,0.008084316536832736,2.7345379002654367e-07,5.539667309526271e-06,1.3842437389551191e-08,4.449057699901213e-11,1.682678322262512e-05,0.03979558252519366
8.295691107430334e-05,800.0000000000001,0.9999999999999238,0.0037892515116124265,0.0769977892916191,0.4987398027869183,0.13098379685968983,0.008519463641820137,0.24274506350744474,0.03822483240089548,0.9379925771532965,2.1196578572558195e-05,0.0009926728453477118,0.013383934028264608,0.008090078211617809,2.735077180333013e-07,5.540209433293548e-06,1.3847811609611977e-08,4.45078091429368e-11,1.6960934678853067e-05,0.03949675263875247
