Distance (mm),T (C),P (atm),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
6.5536e-07,26.85000086460599,29.607698001480387,6.440284914917598e-19,7.521414844133413e-52,1.4179016871774922e-38,0.3268149239347227,7.241922459821719e-39,0.09263296811203127,3.041088701598347e-21,9.040832750368221e-23,-2.365600876585279e-40,-2.919049903933177e-54,2.1135846384811977e-59,3.3993521182880575e-60,9.65567143393827e-25,0.37587227574595056,9.923192396726133e-25,0.189018193206276,2.0581475715167137e-51,1.6734830569818984e-39,2.9542714606709794e-64,5.920582647417647e-40,1.7039431788864226e-48,-2.8763936018315998e-71,5.803877149760637e-34,1.7154833005468234e-51,6.42215559730786e-19,8.335472599458202e-32,0.011746008617060948,4.609706046530658e-73,2.1583813322760016e-37,4.41315751552996e-56,2.2301860927529677e-51,7.473964016377367e-57,1.523567207408388e-55,2.336537786668694e-65,4.674357326688396e-63,5.237576608109293e-56,6.792246192892442e-76,1.2872193883320953e-29,2.7006800934268597e-63,-6.271174170087031e-62,4.81938219437784e-66,1.9920803436711988e-73,-1.0992102689679044e-55,1.9432815260908365e-114,6.614765352036547e-115,3.2128854143597457e-60,1.1159639004792543e-50,0.003915630383958337,0.0,7.425620970337095e-29,6.278799401090202e-41,1.2864285881737502e-51,1.6616058152247893e-67
1.31072e-06,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.869137782904686e-52,1.3963051705766996e-38,0.3268149239347227,1.443278039002553e-38,0.09263296811203127,3.041088701598397e-21,9.040832750368221e-23,-2.0702679674993083e-41,-4.374112494646468e-56,3.2893571483920615e-59,3.4032353442781344e-60,9.655671433436653e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,1.0622565484911054e-51,3.346966018273348e-39,3.5758314968822496e-64,5.919207009114003e-40,3.407341938455258e-48,-1.617171691911764e-72,5.803877149760637e-34,1.689734372473634e-51,6.42215559730786e-19,8.335515506211358e-32,0.011746008617060948,7.714720728517896e-73,2.1583813322760016e-37,4.41315751552996e-56,2.2301337385537004e-51,7.454156929941482e-57,1.5235672071747338e-55,4.673075572844681e-65,3.942206756108251e-63,1.0474976977238863e-55,2.8527022843394297e-75,1.2872193883320953e-29,5.391520053432768e-63,-8.87304771254017e-63,4.784431831987119e-66,3.984096385926782e-73,-1.6692517214608382e-56,1.207159561144013e-113,2.79625863817666e-114,6.425770827802148e-60,1.1159639001525787e-50,0.003915630383958337,0.0,7.425620970330816e-29,1.2557598802173102e-40,2.4791689141815083e-51,3.505522018513196e-67
2.62144e-06,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.989846225755202e-52,1.3943081178327713e-38,0.3268149239347227,2.8667684898391226e-38,0.09263296811203127,3.0410887015984968e-21,9.040832750368224e-23,-9.473571421409005e-43,7.866226461419467e-59,4.465442965484378e-59,3.411050307040109e-60,9.655671432433418e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,8.068106961485107e-52,6.693931662817225e-39,4.093119907562376e-64,5.916458509435664e-40,6.812557559570056e-48,-4.6775380209683294e-74,5.803877149760637e-34,1.6800811176575386e-51,6.422155597307861e-19,8.335601224524807e-32,0.011746008617060948,1.1325353772125806e-72,2.1583813322760016e-37,4.41315751552996e-56,2.2300290350711646e-51,7.414752168682476e-57,1.5235672067074262e-55,9.346151143763336e-65,3.7538412015650196e-63,2.0949265177337744e-55,1.154632711255568e-74,1.2872193883320953e-29,1.074475088889284e-62,-6.755099218931793e-64,4.779110335309243e-66,7.967941422032645e-73,-1.3460598407239808e-57,6.571866481932015e-113,1.1267039482406538e-113,1.2851541650982213e-59,1.1159638995091766e-50,0.003915630383958337,0.0,7.425620970318258e-29,2.511519760431767e-40,4.760786924036231e-51,7.188117807933336e-67
5.24288e-06,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.992841140155855e-52,1.3941725636752276e-38,0.3268149239347227,5.656211793717743e-38,0.09263296811203127,3.0410887015986954e-21,9.040832750368227e-23,-2.2183140684006987e-44,-5.502581779365467e-57,5.257769585564862e-59,3.426365890680094e-60,9.65567143042695e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,7.962580299692672e-52,1.338786184198894e-38,4.7752281527702276e-64,5.910972595394821e-40,1.361667397000716e-47,-6.863961804569631e-76,5.803877149760637e-34,1.6780845309521644e-51,6.422155597307864e-19,8.335772280714656e-32,0.011746008617060948,1.4317075930447773e-72,2.1583813322760016e-37,4.41315751552996e-56,2.2298196477682394e-51,7.336771483117499e-57,1.523567205772811e-55,1.869230227986735e-64,3.723901515546279e-63,4.189579249035853e-55,4.6318554081739226e-74,1.2872193883320953e-29,2.1338613013658714e-62,-2.673099024583905e-65,4.778689252597489e-66,1.5934883370874436e-72,-8.890297775421202e-59,3.1573048214459687e-112,4.468866837914408e-113,2.570308328254151e-59,1.115963898223946e-50,0.003915630383958337,0.0,7.425620970293142e-29,5.023039520852185e-40,8.986013881380205e-51,1.4552744480192199e-66
1.048576e-05,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.993135014976635e-52,1.3940843036262484e-38,0.3268149239347227,1.1014066434206623e-37,0.09263296811203127,3.0410887015990934e-21,9.040832750368236e-23,-2.6279495126100976e-46,1.0637985844097332e-57,5.60072911073647e-59,3.455783331752353e-60,9.655671426414027e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,8.435045082802228e-52,2.677571777851595e-38,6.0043144507679335e-64,5.9000449300981134e-40,2.71997491352109e-47,-5.072373221805167e-78,5.803877149760637e-34,1.6778668943718708e-51,6.422155597307867e-19,8.336112874188902e-32,0.011746008617060948,1.5945779670947493e-72,2.1583813322760016e-37,4.41315751552996e-56,2.2294009517962112e-51,7.184056450774458e-57,1.5235672039035808e-55,3.738460452914221e-64,3.721371989163668e-63,8.378065914445142e-55,1.853893257383189e-73,1.2872193883320953e-29,4.208531412500755e-62,-5.395694735439935e-67,4.778672397456562e-66,3.1865775336983125e-72,-1.364085255736139e-59,1.3773986158457456e-111,1.7484645673866748e-112,5.140616648645972e-59,1.1159638956536124e-50,0.003915630383958337,0.0,7.425620970242912e-29,1.0046079041659044e-39,1.6287293974787067e-50,2.9281667185879134e-66
2.097152e-05,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.993010160672188e-52,1.393912162930228e-38,0.3268149239347227,2.091303517739422e-37,0.09263296811203127,3.0410887015998886e-21,9.040832750368247e-23,-1.5658895027588975e-48,-1.332391634747114e-56,5.733664169280394e-59,3.5101338143560117e-60,9.655671418388226e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,9.196490593609575e-52,5.355141210594102e-38,8.265085596684502e-64,5.8783648342659414e-40,5.426607569336378e-47,-1.681717794380877e-80,5.803877149760637e-34,1.6778548945105217e-51,6.422155597307875e-19,8.336788010704555e-32,0.011746008617060948,1.66159676012859e-72,2.1583813322760016e-37,4.41315751552996e-56,2.228563874269343e-51,6.891082183187627e-57,1.5235672001651206e-55,7.476920893595929e-64,3.7212076439753084e-63,1.67517705323371e-54,7.415276226523915e-73,1.2872193883320953e-29,8.188656556312827e-62,-5.501170698438032e-69,4.77866859436737e-66,6.371559603645155e-72,-4.918419704088928e-59,5.7217714051260624e-111,6.691204812691636e-112,1.0281233265749483e-58,1.1159638905129504e-50,0.003915630383958337,0.0,7.425620970142452e-29,2.0092158083136848e-39,2.73965553726044e-50,5.873826072982504e-66
4.194304e-05,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.990622366708078e-52,1.3935680194162305e-38,0.3268149239347227,3.790675006563115e-37,0.09263296811203127,3.04108870160148e-21,9.040832750368273e-23,-4.6791938440402426e-51,-8.573784483724549e-56,5.853162806943025e-59,3.603438124519257e-60,9.655671402336768e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,1.0127503410560308e-51,1.071027316933446e-37,1.2145576327554326e-63,5.835694430874997e-40,1.0800578583892452e-46,3.5975835485873233e-81,5.803877149760637e-34,1.67785490153064e-51,6.422155597307891e-19,8.338114315956547e-32,0.011746008617060948,1.707307479475503e-72,2.1583813322760016e-37,4.41315751552996e-56,2.2268909759402728e-51,6.351052368800953e-57,1.5235671926881996e-55,1.4953841738266282e-63,3.721121002543947e-63,3.348615339662835e-54,2.9649263116763235e-72,1.2872193883320953e-29,1.5525089686453341e-61,-2.818723383304115e-71,4.778653843442959e-66,1.2736742042581275e-71,-3.0333956496052337e-58,2.3458132036550983e-110,2.460946226815003e-111,2.0562466405235965e-58,1.1159638802316263e-50,0.003915630383958337,0.0,7.42562096994153e-29,4.018431616554881e-39,4.1036981505389828e-50,1.176462731703963e-65
8.388608e-05,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.991536046063128e-52,1.3928800756820167e-38,0.3268149239347227,6.346062133943417e-37,0.09263296811203127,3.041088701604665e-21,9.040832750368326e-23,-7.001648932839338e-54,-1.4991973847994728e-55,6.021395535337158e-59,3.74374212585541e-60,9.655671370234285e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,1.0952171824479537e-51,2.1420510323955013e-37,1.798074900398843e-63,5.753026364812367e-40,2.1396265968589507e-46,6.084112386851847e-81,5.803877149760637e-34,1.6778554275080538e-51,6.422155597307922e-19,8.340673285777527e-32,0.011746008617060948,1.765797940560601e-72,2.1583813322760016e-37,4.41315751552996e-56,2.2235501986394554e-51,5.42797177655495e-57,1.523567177734358e-55,2.9907683280834744e-63,3.720968595333275e-63,6.690315597487072e-54,1.1849338177341646e-71,1.2872193883320953e-29,2.8065356983333985e-61,-7.239921542478448e-74,4.778645564284196e-66,2.5448008810647653e-71,-7.959051813327227e-58,9.640925216130071e-110,8.460419018867779e-111,4.112493230532683e-58,1.1159638596689786e-50,0.003915630383958337,0.0,7.425620969539687e-29,8.036863232819811e-39,5.312021627557958e-50,2.3544027774796024e-65
0.00016777216,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.984804029198059e-52,1.3915055587757576e-38,0.3268149239347227,9.42472839550191e-37,0.09263296811203127,3.0410887016110375e-21,9.04083275036843e-23,-5.242333900107176e-57,-2.149724884508087e-55,6.223517108817864e-59,3.9127768438931106e-60,9.655671306030369e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,1.1418559954467196e-51,4.284088407485009e-37,2.5010818325837303e-63,5.597731882451136e-40,4.201561075521494e-46,9.037761572267668e-81,5.803877149760637e-34,1.677856062705174e-51,6.422155597307986e-19,8.345437215746615e-32,0.011746008617060948,1.834928138412697e-72,2.1583813322760016e-37,4.41315751552996e-56,2.216888661317115e-51,4.0503628081657384e-57,1.5235671478266756e-55,5.981536577888269e-63,3.7196660916510777e-63,1.3353230345279575e-53,4.731421166383995e-71,1.2872193883320953e-29,4.6780494053550625e-61,-9.309864653046668e-77,4.778544240792196e-66,5.079437877203439e-71,-9.69989500816238e-58,3.9758122708090187e-109,2.6279958710277163e-110,8.224986258998018e-58,1.1159638185436847e-50,0.003915630383958337,0.0,7.425620968735998e-29,1.6073726464479824e-38,5.999451062283915e-50,4.7093023292725255e-65
0.00033554432,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.982704493402182e-52,1.3887619963030747e-38,0.3268149239347227,1.207861093924716e-36,0.09263296811203127,3.0410887016237953e-21,9.040832750368641e-23,-1.9632773530900474e-60,1.02918218518109e-55,6.397738199134812e-59,4.058488678233608e-60,9.655671177624353e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,1.1606327479333726e-51,8.568127533958649e-37,3.107090301640345e-63,5.322709858100059e-40,8.12282033090938e-46,1.158384845939237e-80,5.803877149760637e-34,1.6778565975949676e-51,6.422155597308114e-19,8.353717274885967e-32,0.011746008617060948,1.8927428550454196e-72,2.1583813322760016e-37,4.41315751552996e-56,2.2036451774642527e-51,2.4105861781097475e-57,1.5235670880113133e-55,1.196307284266228e-62,3.720778050251201e-63,2.6598353759274987e-53,1.8859946274306433e-70,1.2872193883320953e-29,6.905722268197322e-61,-5.989859309567181e-80,4.778341593950371e-66,1.01184284373906e-70,1.857575061089826e-58,1.631540755908827e-108,7.195278313111072e-110,1.6449971709717378e-57,1.1159637362931032e-50,0.003915630383958337,0.0,7.425620967128622e-29,3.214745292432049e-38,6.227418617604262e-50,9.414479050579323e-65
0.00067108864,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.995563027919194e-52,1.383296669806573e-38,0.3268149239347227,1.35366894142076e-36,0.09263296811203127,3.041088701649349e-21,9.040832750369058e-23,-3.6769650964524e-64,5.257595977950343e-55,6.493457233835695e-59,4.1385445569825027e-60,9.655670920814317e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,1.1676032035607534e-51,1.7136092527472188e-36,3.4400394440383854e-63,4.88569801813886e-40,1.532144249287298e-45,1.2982702554431176e-80,5.803877149760637e-34,1.677856859104148e-51,6.422155597308369e-19,8.366416506163833e-32,0.011746008617060948,1.9197703560606268e-72,2.1583813322760016e-37,4.41315751552996e-56,2.177472791770972e-51,1.0212272977109489e-57,1.523566968380597e-55,2.392614443286805e-62,3.71900288637289e-63,5.277212863722945e-53,7.492299071711389e-70,1.2872193883320953e-29,8.793192267309446e-61,-1.7986515734402308e-83,4.778254793046331e-66,2.0076714519354713e-70,4.8553686306804793e-57,6.60200416143407e-108,1.7432537057396697e-109,3.2899940186311226e-57,1.1159635717919643e-50,0.003915630383958337,0.0,7.425620963913871e-29,6.429490583008431e-38,6.268635920307169e-50,1.8802048323436703e-64
0.00134217728,26.85000086460599,29.607698001480387,6.440284914917598e-19,9.98139067036656e-52,1.3724525206167503e-38,0.3268149239347227,1.4001007477517109e-36,0.09263296811203127,3.0410887017005534e-21,9.0408327503699e-23,-3.507383820062648e-68,-3.2118416509933557e-56,6.523937955991946e-59,4.1640376267788265e-60,9.655670407195533e-25,0.37587227574595056,9.923192396726131e-25,0.189018193206276,1.1624239598731347e-51,3.427172362143912e-36,3.5460655078295993e-63,4.309657622567344e-40,2.8021202796460628e-45,1.3428160899914878e-80,5.803877149760637e-34,1.6778568673404924e-51,6.4221555973088815e-19,8.382189634948893e-32,0.011746008617060948,1.9179002317841753e-72,2.1583813322760016e-37,4.41315751552996e-56,2.1263568092937734e-51,2.7445270327117055e-58,1.523566729119203e-55,4.785228385591122e-62,3.7194530304169036e-63,1.0388885781665323e-52,2.956579052786874e-69,1.2872193883320953e-29,9.807687313084378e-61,-3.287837643303862e-83,4.778081209017403e-66,3.952574586412152e-70,5.344255426515841e-58,2.626442476453806e-107,3.8608174343225264e-109,6.579986744012227e-57,1.1159632427897837e-50,0.003915630383958337,0.0,7.425620957484369e-29,1.2858981158594196e-37,6.272538298401529e-50,3.746512228219636e-64
