z_m,T_K,P_Pa,tau_s,X_CH4,X_O2,X_CO2,X_H2O,X_CO,X_H2,X_OH
0.13666666666666655,999.9998986091887,101325.00000000017,0.004602361472088212,0.09505695553821757,0.1901140012360175,7.774962600661865e-14,2.848939716295911e-08,1.7617406032520442e-11,1.0887226545441425e-09,8.968850260206838e-12
0.13999999999999987,999.9999009983749,101325.00000000013,0.004714614199187856,0.0950569524796239,0.1901139988059105,8.441220244624162e-14,3.0071092931949444e-08,1.9017393655511426e-11,1.1549910461354545e-09,9.266401564252268e-12
0.1433333333333332,999.9999036737215,101325.00000000012,0.004826866925972035,0.0950569493567384,0.1901139963311259,9.14903275562553e-14,3.170421449420763e-08,2.049541900848159e-11,1.2238288114259599e-09,9.567673957937976e-12
0.14666666666666653,999.999906639385,101325.00000000012,0.004939119652407664,0.09505694616886838,0.19011399381116276,9.900123877293351e-14,3.338939518237239e-08,2.20541846968173e-11,1.2952853199267383e-09,9.872656229184618e-12
0.14999999999999986,999.9999098995445,101325.00000000012,0.005051372378461187,0.09505694291532339,0.19011399124552048,1.069625758363521e-13,3.512726624896402e-08,2.369644208487986e-11,1.369410007210072e-09,1.0181336175412216e-11
0.15333333333333318,999.9999134584015,101325.00000000012,0.005163625104098574,0.09505693959541552,0.1901139886336993,1.1539238267333374e-13,3.6918456694591045e-08,2.5424991803788342e-11,1.446252358498943e-09,1.0493700587386804e-11
0.1566666666666665,999.9999173201771,101325.00000000013,0.00527587782928532,0.09505693620845945,0.19011398597520018,1.2430910900869522e-13,3.876359309348446e-08,2.7242684249897793e-11,1.5258618919169196e-09,1.0809735233569277e-11
0.15999999999999984,999.9999214891144,101325.00000000015,0.005388130553986443,0.09505693275377289,0.190113983269525,1.3373161168227913e-13,4.066329941646188e-08,2.9152420073246784e-11,1.608288141411952e-09,1.1129424845065096e-11
0.16333333333333316,999.9999259694712,101325.00000000015,0.005500383278166483,0.09505692923067662,0.1901139805161769,1.4367915572884957e-13,4.261819685135686e-08,3.115715065603633e-11,1.6935806393515529e-09,1.1452753100778045e-11
0.1666666666666665,999.9999307655256,101325.00000000013,0.005612636001789498,0.09505692563849477,0.19011397771466046,1.5417141507901137e-13,4.4628903621133027e-08,3.3259878579197614e-11,1.7817888988283313e-09,1.1779702613855808e-11
0.16999999999999982,999.9999358815704,101325.00000000013,0.005724888724819065,0.09505692197655505,0.1901139748644817,1.6522847303972086e-13,4.669603480085899e-08,3.546365808128507e-11,1.8729623959506403e-09,1.2110254925039514e-11
0.17333333333333314,999.9999413219133,101325.00000000015,0.005837141447218279,0.09505691824418896,0.19011397196514848,1.7687082234277988e-13,4.8820202127784067e-08,3.7771595491544323e-11,1.9671505507140446e-09,1.2444390462332795e-11
0.17666666666666647,999.9999470910168,101325.00000000016,0.005949394168949731,0.09505691444072407,0.1901139690161644,1.8911938714263907e-13,5.100201861221871e-08,4.018685527577733e-11,2.0644029143714696e-09,1.2782088804594273e-11
0.1799999999999998,999.9999531928619,101325.00000000015,0.006061646889975572,0.09505691056559036,0.1901139660171106,2.0199515579601434e-13,5.324203468840564e-08,4.2712583149271235e-11,2.1647663038098233e-09,1.3123322829956966e-11
0.18333333333333313,999.9999596320658,101325.00000000015,0.0061738996102574314,0.09505690661797707,0.19011396296738217,2.1552041419202108e-13,5.55409437510308e-08,4.5352157610956164e-11,2.268294068404418e-09,1.3468078729830256e-11
0.18666666666666645,999.9999664129186,101325.00000000015,0.006286152329756461,0.09505690259730626,0.19011395986655208,2.297170197710422e-13,5.7899298751826514e-08,4.810884461282596e-11,2.3750332399048153e-09,1.3816329302603809e-11
0.18999999999999978,999.9999735397809,101325.0000000001,0.006398405048433325,0.09505689850293184,0.19011395671413966,2.446075026193121e-13,6.031769189033376e-08,5.098601713690545e-11,2.4850326786105632e-09,1.4168048550014449e-11
0.1933333333333331,999.9999810170199,101325.00000000012,0.006510657766248199,0.09505689433421312,0.19011395350966745,2.602147958398794e-13,6.27967108716048e-08,5.3987102623634004e-11,2.5983410736322125e-09,1.4523210122787904e-11
0.19666666666666643,999.9999888490084,101325.00000000012,0.006622910483160771,0.09505689009051471,0.19011395025266098,2.7656223323968553e-13,6.533693870985376e-08,5.7115583310423457e-11,2.71500692385286e-09,1.4881786521234584e-11
0.19999999999999976,1000.0000987599216,101325.00000000012,0.0067351631877119195,0.09505688577120015,0.19011394694264386,2.936735595020003e-13,6.793895644039274e-08,6.037500239527044e-11,2.835078733702722e-09,1.524376276859565e-11
0.2033333333333331,1000.0001073145309,101325.00000000016,0.00684741589127868,0.09505688137565271,0.1901139435791537,3.1157288916903566e-13,7.060333414201658e-08,6.37689468323915e-11,2.958604348985606e-09,1.560908289431231e-11
0.20666666666666642,1000.0001162370249,101325.00000000019,0.006959668593819277,0.09505687690325443,0.19011394016172634,3.302847421670689e-13,7.333063980807605e-08,6.730106544707692e-11,3.0856315888377443e-09,1.5977728239204454e-11
0.20999999999999974,1000.0001255317814,101325.00000000019,0.007071921295291448,0.09505687235339415,0.19011393668990162,3.4983402430411375e-13,7.612143569111888e-08,7.09750627039022e-11,3.2162079900660474e-09,1.6349666702664816e-11
0.21333333333333307,1000.0001352031767,101325.00000000019,0.007184173995652443,0.09505686772546731,0.19011393316322348,3.7024602465536557e-13,7.89762783483968e-08,7.479469927946912e-11,3.350380797887737e-09,1.672486490003161e-11
0.2166666666666664,1000.0001452555825,101325.00000000023,0.007296426694859027,0.09505686301887649,0.19011392958124051,3.9154641087707303e-13,8.1895718439066e-08,7.876379228537483e-11,3.4881969453456204e-09,1.7103288258503883e-11
0.21999999999999972,1000.0001556933655,101325.00000000028,0.007408679392867481,0.09505685823303106,0.19011392594350526,4.137612241114666e-13,8.488030052138869e-08,8.28862154696891e-11,3.6297030326720933e-09,1.7484901017161486e-11
0.22333333333333305,1000.0001665208852,101325.00000000029,0.007520932089633601,0.09505685336734807,0.19011392224957532,4.369168734784279e-13,8.793056284993292e-08,8.716589939629145e-11,3.774945306614309e-09,1.7869666226963878e-11
0.22666666666666638,1000.0001777424916,101325.00000000028,0.007633184785112702,0.09505684842125203,0.19011391849901318,4.610401301507866e-13,9.104703717294235e-08,9.160683160143486e-11,3.923969639739643e-09,1.8257545751761798e-11
0.2299999999999997,1000.000189362525,101325.0000000003,0.0077454374792596155,0.09505684339417533,0.19011391469138608,4.861581210107132e-13,9.423024853005496e-08,9.621305672691502e-11,4.076821509741032e-09,1.8648500270352737e-11
0.23333333333333303,1000.0002013853135,101325.0000000003,0.007857690172028697,0.09505683828555855,0.1901139108262668,5.122983218852326e-13,9.748071505055174e-08,1.0098867662923293e-10,4.233545978761961e-09,1.9042489279597696e-11
0.23666666666666636,1000.0002138151716,101325.00000000028,0.007969942863373823,0.09505683309485051,0.19011390690323351,5.394885503594552e-13,1.0079894775231798e-07,1.0593785046414926e-10,4.3941876727610845e-09,1.9439471098611873e-11
0.23999999999999969,1000.0002266564602,101325.00000000026,0.008082195553248388,0.09505682782148875,0.19011390292185504,5.677570764047907e-13,1.0418546367582416e-07,1.1106481727446569e-10,4.558791415945775e-09,1.9839403981601016e-11
0.243333333333333,1000.000239913239,101325.00000000028,0.00819444824160534,0.09505682246498282,0.1901138988817535,5.971321289321548e-13,1.0764073016151716e-07,1.1637380270180184e-10,4.7273994896121425e-09,2.0242242041729218e-11
0.24666666666666634,1000.000253590031,101325.00000000029,0.008306700928397125,0.09505681702478119,0.19011389478250437,6.276426498999349e-13,1.1116525360236438e-07,1.2186916759050217e-10,4.900055955899549e-09,2.064794021362209e-11
0.24999999999999967,1000.0002676907792,101325.00000000028,0.008418953613575756,0.0950568115003582,0.19011389062370182,6.593178403313985e-13,1.1475952132501162e-07,1.2755531323364699e-10,5.0768038646007404e-09,2.1056454364387155e-11
0.253333333333333,1000.0002822201046,101325.00000000032,0.008531206297092737,0.09505680589123539,0.1901138864049745,6.921868819263857e-13,1.184239877174338e-07,1.3343665334674052e-10,5.257684392210971e-09,2.1467733925026283e-11
0.2566666666666664,1000.0002971831167,101325.00000000036,0.008643458978899007,0.09505680019684348,0.19011388212588345,7.262801950050098e-13,1.2215916909130968e-07,1.395178076978392e-10,5.442741968505086e-09,2.1881735602461628e-11
